Date,username,likes_count,retweet_date,Cases_x,Deaths_x,14 days,Cases_y,Deaths_y,28 days,Cases,Deaths,Sentiment,Total Case Growth,Total Death Growth,Lethality_48,Lethality_14,Lethality_dayof
2/11/2020,nytimes,4374,,12,0,2/25/20 0:00,15,0,3/10/20 0:00,711,28,0.136,58.25,inf,0.039,0,0
2/13/2020,tamiann02,0,,13,0,2/27/20 0:00,16,0,3/12/20 0:00,1561,43,0.256,119.077,inf,0.028,0,0
2/13/2020,1val1richy,0,,13,0,2/27/20 0:00,16,0,3/12/20 0:00,1561,43,0.256,119.077,inf,0.028,0,0
2/13/2020,kolsaw,0,,13,0,2/27/20 0:00,16,0,3/12/20 0:00,1561,43,0.061,119.077,inf,0.028,0,0
2/15/2020,_watch_observe_,0,,13,0,2/29/20 0:00,24,1,3/14/20 0:00,2870,58,0.217,219.769,58,0.02,0.042,0
2/16/2020,shima3t,5,,13,0,3/1/20 0:00,30,1,3/15/20 0:00,2968,70,0,227.308,70,0.024,0.033,0
2/16/2020,shima3t,5,,13,0,3/1/20 0:00,30,1,3/15/20 0:00,2968,70,0,227.308,70,0.024,0.033,0
2/17/2020,narniaexpert,2,,13,0,3/2/20 0:00,53,6,3/16/20 0:00,4360,97,0.168,334.385,16.167,0.022,0.113,0
2/19/2020,washingtonpost,89,,13,0,3/4/20 0:00,104,11,3/18/20 0:00,8917,188,0,684.923,17.091,0.021,0.106,0
2/19/2020,washingtonpost,88,,13,0,3/4/20 0:00,104,11,3/18/20 0:00,8917,188,0,684.923,17.091,0.021,0.106,0
2/21/2020,darrylmason,0,,15,0,3/6/20 0:00,222,14,3/20/20 0:00,19479,362,0,1297.6,25.857,0.019,0.063,0
2/22/2020,newswest9,1,,15,0,3/7/20 0:00,337,17,3/21/20 0:00,25825,456,0,1720.667,26.824,0.018,0.05,0
2/23/2020,bobfoolery,0,,15,0,3/8/20 0:00,451,21,3/22/20 0:00,33761,601,-0.078,2249.733,28.619,0.018,0.047,0
2/24/2020,loyndsview,0,,15,0,3/9/20 0:00,519,22,3/23/20 0:00,43850,784,0.333,2922.333,35.636,0.018,0.042,0
2/24/2020,washingtonpost,75,,15,0,3/9/20 0:00,519,22,3/23/20 0:00,43850,784,0.1,2922.333,35.636,0.018,0.042,0
2/24/2020,washingtonpost,75,,15,0,3/9/20 0:00,519,22,3/23/20 0:00,43850,784,0.1,2922.333,35.636,0.018,0.042,0
2/25/2020,pourteaux,23,,15,0,3/10/20 0:00,711,28,3/24/20 0:00,54112,1021,0.405,3606.467,36.464,0.019,0.039,0
2/26/2020,showntimothy,0,,15,0,3/11/20 0:00,1109,33,3/25/20 0:00,66055,1333,0.2,4402.667,40.394,0.02,0.03,0
2/26/2020,mridulaprasad5,0,,15,0,3/11/20 0:00,1109,33,3/25/20 0:00,66055,1333,-0.05,4402.667,40.394,0.02,0.03,0
2/26/2020,kooswilt,0,,15,0,3/11/20 0:00,1109,33,3/25/20 0:00,66055,1333,0,4402.667,40.394,0.02,0.03,0
2/26/2020,kooswilt,0,,15,0,3/11/20 0:00,1109,33,3/25/20 0:00,66055,1333,0,4402.667,40.394,0.02,0.03,0
2/26/2020,nygovcuomo,104,,15,0,3/11/20 0:00,1109,33,3/25/20 0:00,66055,1333,0.059,4402.667,40.394,0.02,0.03,0
2/26/2020,nygovcuomo,153,,15,0,3/11/20 0:00,1109,33,3/25/20 0:00,66055,1333,0.068,4402.667,40.394,0.02,0.03,0
2/26/2020,nygovcuomo,99,,15,0,3/11/20 0:00,1109,33,3/25/20 0:00,66055,1333,0,4402.667,40.394,0.02,0.03,0
2/26/2020,nygovcuomo,104,,15,0,3/11/20 0:00,1109,33,3/25/20 0:00,66055,1333,0.059,4402.667,40.394,0.02,0.03,0
2/26/2020,nygovcuomo,153,,15,0,3/11/20 0:00,1109,33,3/25/20 0:00,66055,1333,0.068,4402.667,40.394,0.02,0.03,0
2/26/2020,nygovcuomo,99,,15,0,3/11/20 0:00,1109,33,3/25/20 0:00,66055,1333,0,4402.667,40.394,0.02,0.03,0
2/27/2020,benni1028,0,,16,0,3/12/20 0:00,1561,43,3/26/20 0:00,84091,1746,0.04,5254.688,40.605,0.021,0.028,0
2/27/2020,tinatomblin,0,,16,0,3/12/20 0:00,1561,43,3/26/20 0:00,84091,1746,0.7,5254.688,40.605,0.021,0.028,0
