,Poll,Date,Sample,MoE,Biden (D),Trump (R),Spread
0,RCP Average,7/9 - 7/24,--,--,50.0,40.9,Biden +9.1
1,CBS News/YouGovCBS News,7/21 - 7/24,1401 LV,--,51.0,41.0,Biden +10
2,Economist/YouGovYouGov,7/19 - 7/21,1222 RV,3.2,48.0,41.0,Biden +7
3,Rasmussen ReportsRasmussen,7/15 - 7/21,2500 LV,2.0,47.0,45.0,Biden +2
4,The Hill/HarrisXThe Hill,7/17 - 7/20,2829 RV,1.8,45.0,38.0,Biden +7
5,FOX NewsFOX News,7/12 - 7/15,1104 RV,3.0,49.0,41.0,Biden +8
6,ABC News/Wash PostABC/WP,7/12 - 7/15,673 LV,--,54.0,44.0,Biden +10
7,Economist/YouGovYouGov,7/12 - 7/14,1252 RV,3.3,49.0,40.0,Biden +9
8,CNBC/Change Research (D)*CNBC*,7/10 - 7/12,1258 LV,2.8,51.0,41.0,Biden +10
9,Rasmussen ReportsRasmussen,7/8 - 7/14,1500 LV,2.0,47.0,44.0,Biden +3
10,QuinnipiacQuinnipiac,7/9 - 7/13,1273 RV,2.8,52.0,37.0,Biden +15
11,NBC News/Wall St. JrnlNBC/WSJ,7/9 - 7/12,900 RV,3.3,51.0,40.0,Biden +11
12,Economist/YouGovYouGov,7/5 - 7/7,1165 RV,3.6,49.0,40.0,Biden +9
13,Rasmussen ReportsRasmussen,7/5 - 7/7,1500 LV,2.5,50.0,40.0,Biden +10
14,The Hill/HarrisXThe Hill,7/3 - 7/4,933 RV,3.2,43.0,39.0,Biden +4
15,Economist/YouGovYouGov,6/28 - 6/30,1198 RV,3.4,49.0,40.0,Biden +9
16,IBD/TIPPIBD/TIPP,6/27 - 6/30,1005 RV,3.1,48.0,40.0,Biden +8
17,MonmouthMonmouth,6/26 - 6/30,733 RV,3.6,53.0,41.0,Biden +12
18,CNBC/Change Research (D)CNBC,6/26 - 6/28,1663 LV,1.6,49.0,41.0,Biden +8
19,USA Today/SuffolkUSA Today,6/25 - 6/29,1000 RV,3.1,53.0,41.0,Biden +12
20,NPR/PBS/MaristNPR/PBS,6/22 - 6/24,1515 RV,3.5,52.0,44.0,Biden +8
21,The Hill/HarrisXThe Hill,6/22 - 6/23,951 RV,3.2,43.0,39.0,Biden +4
22,Economist/YouGovYouGov,6/21 - 6/23,1230 RV,3.3,49.0,41.0,Biden +8
23,CNBCCNBC,6/19 - 6/22,800 RV,3.5,47.0,38.0,Biden +9
24,NY Times/SienaNYT/Siena,6/17 - 6/22,1337 RV,3.0,50.0,36.0,Biden +14
25,Harvard-HarrisHarris,6/17 - 6/18,LV,--,56.0,44.0,Biden +12
26,Economist/YouGovYouGov,6/14 - 6/16,1160 RV,3.5,50.0,41.0,Biden +9
