,Date,username,Sentiment,Poll,Start Date,End Date,Sample,MoE,Biden (D),Trump (R),Spread
0,2020-02-11,nytimes,0.136,QuinnipiacQuinnipiac,2020-02-05,2/9/20,1519 RV,2.5,50.0,43.0,Biden +7
1,2020-02-13,tamiann02,0.256,QuinnipiacQuinnipiac,2020-02-05,2/9/20,1519 RV,2.5,50.0,43.0,Biden +7
2,2020-02-13,1val1richy,0.256,QuinnipiacQuinnipiac,2020-02-05,2/9/20,1519 RV,2.5,50.0,43.0,Biden +7
3,2020-02-13,kolsaw,0.061,QuinnipiacQuinnipiac,2020-02-05,2/9/20,1519 RV,2.5,50.0,43.0,Biden +7
4,2020-02-15,_watch_observe_,0.217,NPR/PBS/MaristNPR/PBS,2020-02-13,2/16/20,1164 RV,3.7,50.0,44.0,Biden +6
5,2020-02-16,shima3t,0.0,NBC News/Wall St. JrnlNBC/WSJ,2020-02-14,2/17/20,900 RV,3.3,52.0,44.0,Biden +8
6,2020-02-16,shima3t,0.0,NBC News/Wall St. JrnlNBC/WSJ,2020-02-14,2/17/20,900 RV,3.3,52.0,44.0,Biden +8
7,2020-02-17,narniaexpert,0.168,NBC News/Wall St. JrnlNBC/WSJ,2020-02-14,2/17/20,900 RV,3.3,52.0,44.0,Biden +8
8,2020-02-19,washingtonpost,0.0,EmersonEmerson,2020-02-16,2/18/20,1250 RV,2.7,48.0,52.0,Trump +4
9,2020-02-19,washingtonpost,0.0,EmersonEmerson,2020-02-16,2/18/20,1250 RV,2.7,48.0,52.0,Trump +4
10,2020-02-21,darrylmason,0.0,EmersonEmerson,2020-02-16,2/18/20,1250 RV,2.7,48.0,52.0,Trump +4
11,2020-02-22,newswest9,0.0,CBS News/YouGovCBS News,2020-02-20,2/22/20,10000 RV,1.2,47.0,45.0,Biden +2
12,2020-02-23,bobfoolery,-0.078,CBS News/YouGovCBS News,2020-02-20,2/22/20,10000 RV,1.2,47.0,45.0,Biden +2
13,2020-02-24,loyndsview,0.33299999999999996,CBS News/YouGovCBS News,2020-02-20,2/22/20,10000 RV,1.2,47.0,45.0,Biden +2
14,2020-02-24,washingtonpost,0.1,CBS News/YouGovCBS News,2020-02-20,2/22/20,10000 RV,1.2,47.0,45.0,Biden +2
15,2020-02-24,washingtonpost,0.1,CBS News/YouGovCBS News,2020-02-20,2/22/20,10000 RV,1.2,47.0,45.0,Biden +2
16,2020-02-25,pourteaux,0.405,FOX NewsFOX News,2020-02-23,2/26/20,1000 RV,3,49.0,41.0,Biden +8
17,2020-02-26,showntimothy,0.2,FOX NewsFOX News,2020-02-23,2/26/20,1000 RV,3,49.0,41.0,Biden +8
18,2020-02-26,mridulaprasad5,-0.05,FOX NewsFOX News,2020-02-23,2/26/20,1000 RV,3,49.0,41.0,Biden +8
19,2020-02-26,kooswilt,0.0,FOX NewsFOX News,2020-02-23,2/26/20,1000 RV,3,49.0,41.0,Biden +8
