,Poll,Date,Sample,MoE,Biden (D),Trump (R),Spread
0,RCP Average,7/21 - 8/5,--,--,49.1,42.7,Biden +6.4
1,The Hill/HarrisXThe Hill,8/2 - 8/5,2850 RV,1.8,43.0,40.0,Biden +3
2,Economist/YouGovYouGov,8/2 - 8/4,1229 RV,3.3,49.0,40.0,Biden +9
3,Rasmussen ReportsRasmussen,7/29 - 8/4,2500 LV,2.0,48.0,45.0,Biden +3
4,EmersonEmerson,7/29 - 7/30,964 LV,3.1,50.0,46.0,Biden +4
5,Economist/YouGovYouGov,7/26 - 7/28,1260 RV,3.4,49.0,40.0,Biden +9
6,IBD/TIPPIBD/TIPP,7/25 - 7/28,1160 RV,3.1,48.0,41.0,Biden +7
7,Rasmussen ReportsRasmussen,7/22 - 7/28,2500 LV,2.0,48.0,42.0,Biden +6
8,CNBC/Change Research (D)*CNBC*,7/24 - 7/26,1039 LV,3.0,51.0,42.0,Biden +9
9,CBS News/YouGovCBS News,7/21 - 7/24,1401 LV,--,51.0,41.0,Biden +10
10,Harvard-HarrisHarris,7/21 - 7/23,1932 RV,--,55.0,45.0,Biden +10
11,Economist/YouGovYouGov,7/19 - 7/21,1222 RV,3.2,48.0,41.0,Biden +7
12,Rasmussen ReportsRasmussen,7/15 - 7/21,2500 LV,2.0,47.0,45.0,Biden +2
13,The Hill/HarrisXThe Hill,7/17 - 7/20,2829 RV,1.8,45.0,38.0,Biden +7
14,FOX NewsFOX News,7/12 - 7/15,1104 RV,3.0,49.0,41.0,Biden +8
15,ABC News/Wash PostABC/WP,7/12 - 7/15,673 LV,--,54.0,44.0,Biden +10
16,Economist/YouGovYouGov,7/12 - 7/14,1252 RV,3.3,49.0,40.0,Biden +9
17,CNBC/Change Research (D)*CNBC*,7/10 - 7/12,1258 LV,2.8,51.0,41.0,Biden +10
18,Rasmussen ReportsRasmussen,7/8 - 7/14,1500 LV,2.0,47.0,44.0,Biden +3
19,QuinnipiacQuinnipiac,7/9 - 7/13,1273 RV,2.8,52.0,37.0,Biden +15
20,NBC News/Wall St. JrnlNBC/WSJ,7/9 - 7/12,900 RV,3.3,51.0,40.0,Biden +11
21,Economist/YouGovYouGov,7/5 - 7/7,1165 RV,3.6,49.0,40.0,Biden +9
22,Rasmussen ReportsRasmussen,7/5 - 7/7,1500 LV,2.5,50.0,40.0,Biden +10
23,The Hill/HarrisXThe Hill,7/3 - 7/4,933 RV,3.2,43.0,39.0,Biden +4
24,Economist/YouGovYouGov,6/28 - 6/30,1198 RV,3.4,49.0,40.0,Biden +9
25,IBD/TIPPIBD/TIPP,6/27 - 6/30,1005 RV,3.1,48.0,40.0,Biden +8
26,MonmouthMonmouth,6/26 - 6/30,733 RV,3.6,53.0,41.0,Biden +12
27,CNBC/Change Research (D)CNBC,6/26 - 6/28,1663 LV,1.6,49.0,41.0,Biden +8
28,USA Today/SuffolkUSA Today,6/25 - 6/29,1000 RV,3.1,53.0,41.0,Biden +12
29,NPR/PBS/MaristNPR/PBS,6/22 - 6/24,1515 RV,3.5,52.0,44.0,Biden +8
30,The Hill/HarrisXThe Hill,6/22 - 6/23,951 RV,3.2,43.0,39.0,Biden +4
31,Economist/YouGovYouGov,6/21 - 6/23,1230 RV,3.3,49.0,41.0,Biden +8
32,CNBCCNBC,6/19 - 6/22,800 RV,3.5,47.0,38.0,Biden +9
33,NY Times/SienaNYT/Siena,6/17 - 6/22,1337 RV,3.0,50.0,36.0,Biden +14
34,Harvard-HarrisHarris,6/17 - 6/18,LV,--,56.0,44.0,Biden +12
35,Economist/YouGovYouGov,6/14 - 6/16,1160 RV,3.5,50.0,41.0,Biden +9
36,FOX NewsFOX News,6/13 - 6/16,1343 RV,2.5,50.0,38.0,Biden +12
37,QuinnipiacQuinnipiac,6/11 - 6/15,1332 RV,2.7,49.0,41.0,Biden +8
38,CNBC/Change Research (D)CNBC,6/10 - 6/12,1250 LV,2.8,51.0,41.0,Biden +10
39,Economist/YouGovYouGov,6/7 - 6/9,1241 RV,3.4,49.0,41.0,Biden +8
40,CNNCNN,6/2 - 6/5,1125 RV,3.6,55.0,41.0,Biden +14
41,NPR/PBS/MaristNPR/PBS,6/2 - 6/3,958 RV,4.0,50.0,43.0,Biden +7
42,EmersonEmerson,6/2 - 6/3,1431 RV,2.5,53.0,47.0,Biden +6
43,The Hill/HarrisXThe Hill,6/1 - 6/4,2827 RV,1.8,47.0,37.0,Biden +10
44,IBD/TIPPIBD/TIPP,5/31 - 6/3,964 RV,2.9,45.0,42.0,Biden +3
45,NBC News/Wall St. JrnlNBC/WSJ,5/28 - 6/2,1000 RV,3.1,49.0,42.0,Biden +7
46,Economist/YouGovYouGov,5/31 - 6/2,1244 RV,3.2,47.0,40.0,Biden +7
47,CNBCCNBC,5/29 - 5/31,1457 LV,2.6,48.0,41.0,Biden +7
48,MonmouthMonmouth,5/28 - 6/1,742 RV,3.6,52.0,41.0,Biden +11
49,CBS News/YouGovCBS News,5/29 - 6/1,1486 LV,2.6,47.0,43.0,Biden +4
50,ABC News/Wash PostABC/WP,5/25 - 5/28,835 RV,4.0,53.0,43.0,Biden +10
51,Economist/YouGovYouGov,5/23 - 5/26,1157 RV,3.4,45.0,42.0,Biden +3
52,FOX NewsFOX News,5/17 - 5/20,1207 RV,3.0,48.0,40.0,Biden +8
53,Rasmussen ReportsRasmussen,5/18 - 5/19,1000 LV,3.0,48.0,43.0,Biden +5
54,Economist/YouGovYouGov,5/17 - 5/19,1235 RV,3.2,47.0,42.0,Biden +5
55,CNBCCNBC,5/15 - 5/17,1424 LV,2.6,48.0,45.0,Biden +3
56,QuinnipiacQuinnipiac,5/14 - 5/18,1323 RV,2.7,50.0,39.0,Biden +11
57,The Hill/HarrisXThe Hill,5/13 - 5/14,950 RV,3.2,42.0,41.0,Biden +1
58,Harvard-HarrisHarris,5/13 - 5/14,1854 RV,2.0,53.0,47.0,Biden +6
59,Economist/YouGovYouGov,5/10 - 5/12,1175 RV,3.4,47.0,43.0,Biden +4
60,CNNCNN,5/7 - 5/10,1001 RV,3.7,51.0,46.0,Biden +5
61,Economist/YouGovYouGov,5/3 - 5/5,1209 RV,3.3,46.0,42.0,Biden +4
62,CNBCCNBC,5/1 - 5/3,1489 LV,2.5,47.0,44.0,Biden +3
63,MonmouthMonmouth,4/30 - 5/4,739 RV,3.6,50.0,41.0,Biden +9
64,CBS News/YouGovCBS News,4/28 - 5/1,1671 LV,2.5,49.0,43.0,Biden +6
65,IBD/TIPPIBD/TIPP,4/26 - 4/29,948 RV,3.3,43.0,43.0,Tie
66,EmersonEmerson,4/26 - 4/28,1200 RV,2.8,48.0,42.0,Biden +6
67,Economist/YouGovYouGov,4/26 - 4/28,1222 RV,3.2,47.0,41.0,Biden +6
68,USA Today/SuffolkUSA Today,4/21 - 4/25,1000 RV,3.0,50.0,40.0,Biden +10
69,Economist/YouGovYouGov,4/19 - 4/21,1144 RV,3.4,48.0,42.0,Biden +6
70,The Hill/HarrisXThe Hill,4/19 - 4/20,958 RV,3.2,42.0,40.0,Biden +2
71,NBC News/Wall St. JrnlNBC/WSJ,4/13 - 4/15,900 RV,3.3,49.0,42.0,Biden +7
72,Harvard-HarrisHarris,4/14 - 4/16,LV,--,53.0,47.0,Biden +6
73,Economist/YouGovYouGov,4/12 - 4/14,1166 RV,3.4,48.0,43.0,Biden +5
74,MonmouthMonmouth,4/3 - 4/7,743 RV,3.6,48.0,44.0,Biden +4
75,FOX NewsFOX News,4/4 - 4/7,1107 RV,3.0,42.0,42.0,Tie
76,Economist/YouGovYouGov,4/5 - 4/7,1147 RV,3.3,48.0,42.0,Biden +6
77,CNBCCNBC,4/3 - 4/6,604 RV,4.0,44.0,39.0,Biden +5
78,CNNCNN,4/3 - 4/6,875 RV,3.9,53.0,42.0,Biden +11
79,QuinnipiacQuinnipiac,4/2 - 4/6,2077 RV,2.2,49.0,41.0,Biden +8
80,IBD/TIPPIBD/TIPP,3/29 - 4/1,980 RV,3.2,47.0,41.0,Biden +6
81,Economist/YouGovYouGov,3/29 - 3/31,1194 RV,3.2,46.0,42.0,Biden +4
82,Grinnell/SelzerSelzer,3/27 - 3/30,777 LV,3.5,47.0,43.0,Biden +4
83,Harvard-HarrisHarris,3/24 - 3/26,2410 RV,2.0,55.0,45.0,Biden +10
84,ABC News/Wash PostABC/WP,3/22 - 3/25,845 RV,3.5,49.0,47.0,Biden +2
85,Economist/YouGovYouGov,3/22 - 3/24,1170 RV,3.4,46.0,42.0,Biden +4
86,FOX NewsFOX News,3/21 - 3/24,1011 RV,3.0,49.0,40.0,Biden +9
87,MonmouthMonmouth,3/18 - 3/22,754 RV,3.6,48.0,45.0,Biden +3
88,EmersonEmerson,3/18 - 3/19,1100 RV,2.9,53.0,47.0,Biden +6
89,Economist/YouGovYouGov,3/15 - 3/17,1129 RV,3.5,48.0,41.0,Biden +7
90,NBC News/Wall St. JrnlNBC/WSJ,3/11 - 3/13,900 RV,3.3,52.0,43.0,Biden +9
91,Economist/YouGovYouGov,3/8 - 3/10,1191 RV,2.9,47.0,43.0,Biden +4
92,CNNCNN,3/4 - 3/7,1084 RV,3.5,53.0,43.0,Biden +10
93,QuinnipiacQuinnipiac,3/5 - 3/8,1261 RV,2.8,52.0,41.0,Biden +11
94,Harvard-HarrisHarris,2/26 - 2/28,2592 RV,--,55.0,45.0,Biden +10
95,IBD/TIPPIBD/TIPP,2/20 - 2/29,839 RV,3.5,49.0,46.0,Biden +3
