,Poll,Start Date,End Date,Date,Sample,MoE,Biden (D),Trump (R),Spread
0,RCP Average,7/9/2020,7/21/2020,7/15/2020,--,--,49.6,40.9,Biden +8.7
1,Economist/YouGovYouGov,7/19/2020,7/21/2020,7/20/2020,1222 RV,3.2,48.0,41.0,Biden +7
2,Rasmussen ReportsRasmussen,7/15/2020,7/21/2020,7/18/2020,2500 LV,2.0,47.0,45.0,Biden +2
3,The Hill/HarrisXThe Hill,7/17/2020,7/20/2020,7/18/2020,2829 RV,1.8,45.0,38.0,Biden +7
4,FOX NewsFOX News,7/12/2020,7/15/2020,7/13/2020,1104 RV,3.0,49.0,41.0,Biden +8
5,ABC News/Wash PostABC/WP,7/12/2020,7/15/2020,7/13/2020,673 LV,--,54.0,44.0,Biden +10
6,Economist/YouGovYouGov,7/12/2020,7/14/2020,7/13/2020,1252 RV,3.3,49.0,40.0,Biden +9
7,CNBC/Change Research (D)*CNBC*,7/10/2020,7/12/2020,7/11/2020,1258 LV,2.8,51.0,41.0,Biden +10
8,Rasmussen ReportsRasmussen,7/8/2020,7/14/2020,7/11/2020,1500 LV,2.0,47.0,44.0,Biden +3
9,QuinnipiacQuinnipiac,7/9/2020,7/13/2020,7/11/2020,1273 RV,2.8,52.0,37.0,Biden +15
10,NBC News/Wall St. JrnlNBC/WSJ,7/9/2020,7/12/2020,7/10/2020,900 RV,3.3,51.0,40.0,Biden +11
11,Economist/YouGovYouGov,7/5/2020,7/7/2020,7/6/2020,1165 RV,3.6,49.0,40.0,Biden +9
12,Rasmussen ReportsRasmussen,7/5/2020,7/7/2020,7/6/2020,1500 LV,2.5,50.0,40.0,Biden +10
13,The Hill/HarrisXThe Hill,7/3/2020,7/4/2020,7/3/2020,933 RV,3.2,43.0,39.0,Biden +4
14,Economist/YouGovYouGov,6/28/2020,6/30/2020,6/29/2020,1198 RV,3.4,49.0,40.0,Biden +9
15,IBD/TIPPIBD/TIPP,6/27/2020,6/30/2020,6/28/2020,1005 RV,3.1,48.0,40.0,Biden +8
16,MonmouthMonmouth,6/26/2020,6/30/2020,6/28/2020,733 RV,3.6,53.0,41.0,Biden +12
17,CNBC/Change Research (D)CNBC,6/26/2020,6/28/2020,6/27/2020,1663 LV,1.6,49.0,41.0,Biden +8
18,USA Today/SuffolkUSA Today,6/25/2020,6/29/2020,6/27/2020,1000 RV,3.1,53.0,41.0,Biden +12
19,NPR/PBS/MaristNPR/PBS,6/22/2020,6/24/2020,6/23/2020,1515 RV,3.5,52.0,44.0,Biden +8
20,The Hill/HarrisXThe Hill,6/22/2020,6/23/2020,6/22/2020,951 RV,3.2,43.0,39.0,Biden +4
21,Economist/YouGovYouGov,6/21/2020,6/21/2020,6/21/2020,1230 RV,3.3,49.0,41.0,Biden +8
22,CNBCCNBC,6/19/2020,6/22/2020,6/20/2020,800 RV,3.5,47.0,38.0,Biden +9
23,NY Times/SienaNYT/Siena,6/17/2020,6/22/2020,6/19/2020,1337 RV,3.0,50.0,36.0,Biden +14
24,Harvard-HarrisHarris,6/17/2020,6/18/2020,6/17/2020,LV,--,56.0,44.0,Biden +12
25,Economist/YouGovYouGov,6/14/2020,6/16/2020,6/15/2020,1160 RV,3.5,50.0,41.0,Biden +9
26,FOX NewsFOX News,6/13/2020,6/16/2020,6/14/2020,1343 RV,2.5,50.0,38.0,Biden +12
27,QuinnipiacQuinnipiac,6/11/2020,6/15/2020,6/13/2020,1332 RV,2.7,49.0,41.0,Biden +8
